Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Case Counts,Death Counts,Death Counts(Per 1000),Case Counts(Per 1000)
54870,1689,54.8,16.64,53.82,29.54,48.67,51.33,96.39,0,0.65,0,0,2.13,0.83,36822.0,61190.0,6.6,28.33,73.73,8.37,0.65,0,3.66,1.44,12.16,742.0,2.27,70.37,29.63,1626.0,45.63,54.37,90.57,9.43,227800.0,4.68,95.32,4.69,33.56,35.75,16.86,9.15,1.07,38.89,0,0,33.33,27.78,0,327.0,3.0,1.7761989342806395,193.6056838365897
54871,3026,43.4,23.46,52.05,24.49,46.07,53.93,94.75,0.13,1.12,0.46,0,2.45,1.09,26833.0,51210.0,11.83,21.79,80.59,8.94,0,0,3.39,0.92,6.16,1254.0,2.34,61.75,38.25,1937.0,64.74,35.26,80.54,19.46,154900.0,8.56,91.44,6.89,29.27,43.11,14.71,6.03,0.89,18.52,33.33,0,0,48.15,0,868.0,11.0,3.635161929940516,286.8473231989425
54872,2702,51.7,17.47,56.85,25.68,51.0,49.0,93.82,0.48,1.0,0.11,0,3.03,1.55,29075.0,50383.0,17.04,29.43,77.86,9.24,0.87,0.26,2.09,1.39,8.28,1251.0,2.13,54.94,45.06,2253.0,55.53,44.47,76.1,23.9,155400.0,8.37,91.63,6.19,44.04,33.97,12.17,3.63,1.22,39.39,0,0,30.3,9.09,21.21,646.0,8.0,2.9607698001480385,239.08216136195412
54873,3016,56.8,14.72,54.31,30.97,51.19,48.81,95.42,0.36,1.16,0.36,0,2.29,0.4,35525.0,56932.0,11.44,34.09,81.17,8.04,0,0,0.49,0.57,9.74,1414.0,2.13,65.56,34.44,3126.0,45.23,54.77,85.36,14.64,171400.0,10.17,89.83,5.76,30.8,38.53,16.68,8.24,1.16,40.0,22.86,22.86,0,14.29,0,667.0,6.0,1.9893899204244032,221.15384615384613
54874,3932,41.9,24.39,59.23,16.38,53.08,46.92,94.94,0.56,2.16,0.08,0,1.6,0.66,33767.0,75250.0,6.0,36.83,83.36,9.22,0.48,0,1.17,0.85,4.93,1469.0,2.63,64.22,35.78,1686.0,87.13,12.87,92.58,7.42,159500.0,11.62,88.38,4.91,27.43,41.69,18.3,7.68,1.45,49.12,8.77,5.26,0,10.53,26.32,955.0,16.0,4.0691759918616475,242.8789420142421
54875,1151,52.8,17.98,59.86,22.15,55.95,44.05,96.18,0,1.91,0.35,0,1.04,0,29529.0,45164.0,18.94,30.54,85.24,4.72,0,0,0.98,0.52,9.06,571.0,2.02,54.75,45.25,859.0,66.47,33.53,86.16,13.84,142900.0,8.23,91.77,8.83,43.91,32.18,11.96,3.13,1.13,69.23,30.77,0,0,0,0,239.0,2.0,1.737619461337967,207.64552562988706
54876,1665,51.2,20.0,54.11,25.89,49.19,50.81,78.14,1.02,16.88,0.54,0,3.0,0.3,30872.0,58750.0,11.53,24.77,69.08,18.25,1.81,0.28,0.7,0.12,9.75,782.0,2.13,57.89,42.11,2226.0,35.13,64.87,73.91,26.09,213300.0,6.82,93.18,7.36,40.96,32.0,11.92,7.76,0.9,0,60.0,0,0,26.67,13.33,335.0,4.0,2.4024024024024024,201.2012012012012
54880,29792,39.0,19.66,63.69,16.64,48.61,51.39,89.95,1.5,1.73,1.73,0,3.13,1.91,29710.0,51827.0,13.11,18.25,76.66,11.32,1.58,0.21,4.92,0.05,4.27,13289.0,2.16,43.98,56.02,14314.0,92.84,7.16,59.69,40.31,135400.0,16.8,83.2,6.9,27.69,40.0,17.55,7.86,3.11,25.7,47.19,9.4,1.08,10.37,6.26,7927.0,49.0,1.644736842105263,266.078141783029
54888,1152,57.1,13.28,55.99,30.73,49.57,50.43,93.06,0,2.43,0,0,4.34,0.17,32563.0,54948.0,9.57,23.02,75.88,8.25,1.65,0,5.15,1.44,7.63,565.0,2.04,66.67,33.33,1392.0,40.59,59.41,91.33,8.67,184600.0,12.64,87.36,4.82,35.12,37.11,16.04,6.92,0.43,60.0,0,0,0,20.0,20.0,334.0,2.0,1.736111111111111,289.9305555555556
54889,2514,47.3,22.79,52.82,24.38,48.89,51.11,94.39,0,0.68,0.76,0,3.5,0.68,29205.0,56146.0,9.24,27.37,78.33,9.12,0.67,0.42,3.68,0.84,6.95,1096.0,2.29,55.34,44.66,1750.0,62.63,37.37,73.72,26.28,167600.0,9.12,90.88,8.08,38.41,33.52,13.52,6.48,1.67,14.29,45.24,0,11.9,21.43,7.14,764.0,5.0,1.988862370723946,303.8981702466189
54891,3150,49.5,19.97,55.65,24.38,50.48,49.52,88.32,0.16,4.03,0.38,0,4.25,2.86,33933.0,55670.0,11.22,19.73,74.36,9.07,1.5,1.0,3.14,1.0,9.93,1409.0,2.16,61.01,38.99,1665.0,84.62,15.38,80.84,19.16,168200.0,7.54,92.46,2.58,23.8,27.9,28.11,17.62,0.79,40.0,20.0,28.0,0,12.0,0,700.0,17.0,5.396825396825397,222.2222222222222
54893,3800,52.8,17.58,51.68,30.74,49.82,50.18,85.39,0.45,8.66,0.47,0,3.03,2.0,31327.0,50774.0,16.21,29.85,77.82,10.78,0.2,1.09,2.12,2.32,5.67,1824.0,2.06,55.11,44.89,3966.0,45.99,54.01,80.32,19.68,168300.0,10.53,89.47,8.2,37.55,33.17,14.45,6.63,1.34,49.02,27.45,0,0,15.69,7.84,932.0,5.0,1.3157894736842104,245.26315789473685
54895,781,58.2,11.91,57.49,30.6,52.11,47.89,96.03,0,0.51,0,0.38,2.69,0.38,33357.0,56563.0,9.91,27.48,76.44,8.62,0,0,5.75,0.57,8.62,404.0,1.93,60.76,39.24,720.0,56.11,43.89,86.39,13.61,147700.0,8.93,91.07,9.13,36.68,38.62,10.48,5.09,0,0,0,0,0,0,0,222.0,4.0,5.121638924455826,284.2509603072983
54896,1294,63.3,6.11,50.0,43.89,50.46,49.54,94.59,0,1.62,0.39,0,1.39,2.01,30054.0,44438.0,10.01,31.75,82.65,4.68,0.78,0,6.24,0.97,4.68,730.0,1.75,67.35,32.65,2247.0,32.49,67.51,86.58,13.42,156300.0,9.22,90.78,10.1,38.17,32.56,10.88,8.29,1.47,36.84,21.05,0,0,42.11,0,251.0,8.0,6.182380216383307,193.97217928902626
54901,37765,30.7,15.65,73.53,10.82,53.48,46.52,83.07,5.19,0.45,3.92,0.28,1.77,5.24,23297.0,50579.0,21.65,18.58,80.11,7.55,0.92,1.12,6.07,0.08,3.66,13449.0,2.31,32.43,67.57,14897.0,90.28,9.72,52.61,47.39,131000.0,30.14,69.86,10.68,32.83,31.13,17.48,7.88,4.17,9.14,58.95,3.93,3.62,23.41,0.95,12158.0,84.0,2.2242817423540315,321.9383026611942
54902,22094,39.8,21.28,60.19,18.53,47.78,52.22,87.54,1.65,0.18,3.46,0,4.13,2.99,29575.0,54175.0,12.29,17.67,83.67,8.31,0.9,1.4,2.21,0.05,2.74,9932.0,2.19,46.66,53.34,10725.0,92.61,7.39,64.21,35.79,125400.0,14.78,85.22,6.99,36.95,30.98,17.9,7.19,2.82,10.1,74.84,0,0,13.46,1.6,6892.0,60.0,2.7156694125101835,311.93989318366977
54904,22437,44.9,20.02,57.32,22.65,50.23,49.77,94.67,0.25,0.1,3.53,0,0.53,0.91,40475.0,75633.0,5.31,18.74,85.67,6.06,0.16,0,0.19,0.76,7.16,9718.0,2.3,60.71,39.29,10063.0,96.57,3.43,79.93,20.07,207700.0,11.44,88.56,4.03,26.9,30.57,27.24,11.25,2.77,16.1,73.91,0.32,2.25,4.19,3.22,6338.0,49.0,2.1838926772741454,282.479832419664
54909,2249,41.6,25.97,56.96,17.07,51.76,48.24,91.06,0.62,0,0,0,1.07,7.25,27909.0,60545.0,8.31,29.57,87.28,3.83,0.8,0,1.33,0.09,6.67,891.0,2.52,56.93,43.07,1101.0,80.93,19.07,85.07,14.93,139600.0,5.78,94.22,7.87,35.94,33.78,17.83,4.58,1.2,44.44,0,0,0,55.56,0,437.0,2.0,0.889284126278346,194.30858159181858
54911,25911,36.5,21.31,61.55,17.14,49.8,50.2,83.24,2.66,0.54,6.23,0.26,2.55,4.52,29406.0,53852.0,12.19,18.04,72.72,9.08,1.24,0.93,9.0,0.82,6.21,10245.0,2.32,42.21,57.79,10834.0,94.56,5.44,59.2,40.8,152200.0,15.26,84.74,7.61,27.7,31.89,23.62,9.19,5.69,7.06,62.89,0.54,0.88,27.34,1.29,7079.0,66.0,2.5471807340511754,273.20443055073133
54913,22184,39.5,24.34,59.92,15.74,49.08,50.92,87.33,2.12,0.12,5.35,0,1.55,3.54,47087.0,86916.0,2.5,19.31,86.42,3.67,0.01,0.5,0.66,0.77,7.97,8788.0,2.52,63.59,36.41,9115.0,96.41,3.59,70.7,29.3,278400.0,10.54,89.46,2.83,22.53,27.83,30.21,16.6,6.49,20.57,54.2,7.16,0,16.54,1.53,6392.0,33.0,1.4875586007933645,288.135593220339
54914,30555,36.5,22.36,62.83,14.81,51.07,48.93,82.08,2.76,0.44,6.29,0.09,2.21,6.11,33412.0,61279.0,9.29,17.68,84.6,8.68,0.64,0.26,1.61,0.02,3.98,13296.0,2.27,49.72,50.28,13899.0,95.66,4.34,62.49,37.51,155400.0,11.63,88.37,7.06,28.05,35.88,19.47,9.53,5.1,8.67,51.45,8.73,0,27.81,3.34,8526.0,65.0,2.127311405661921,279.03780068728526
54915,43401,39.3,24.3,60.63,15.06,49.49,50.51,84.78,1.6,0.32,5.03,0,1.34,6.88,33889.0,67490.0,7.96,19.47,84.52,5.72,0.56,0.32,1.19,0.05,6.91,17578.0,2.45,57.89,42.11,18123.0,96.99,3.01,72.23,27.77,181300.0,10.71,89.29,6.09,28.76,32.11,23.34,9.69,5.4,9.27,55.42,0.64,0.81,31.9,1.96,12714.0,69.0,1.589825119236884,292.94255892721367
54921,1188,47.6,18.18,64.98,16.84,55.22,44.78,86.7,0,0,0.17,0,1.09,12.04,29283.0,60938.0,12.63,23.34,78.75,6.88,0,0,1.88,0.31,12.19,488.0,2.43,50.9,49.1,549.0,88.89,11.11,89.14,10.86,158400.0,7.57,92.43,13.41,42.03,27.29,10.99,6.28,3.45,4.88,0,0,0,95.12,0,333.0,3.0,2.5252525252525255,280.30303030303025
54922,1195,49.3,18.74,62.43,18.83,52.22,47.78,84.35,1.26,1.84,0,0,2.26,10.29,32617.0,62500.0,9.72,30.93,79.5,11.89,0,0,2.82,0.47,5.32,510.0,2.33,49.7,50.3,573.0,89.01,10.99,84.12,15.88,131300.0,1.86,98.14,13.7,46.46,27.4,8.45,4.0,2.93,0,0,0,0,100.0,0,327.0,3.0,2.510460251046025,273.64016736401675
53204,38778,28.4,34.75,57.7,7.56,50.62,49.38,16.84,8.83,0.65,1.77,0,1.53,70.3,17207.0,33625.0,35.59,22.28,65.12,16.28,8.35,1.1,4.5,0.08,3.08,13459.0,2.86,37.05,62.95,15313.0,87.89,12.11,28.43,71.57,73500.0,12.57,87.43,37.17,29.51,21.04,7.88,4.39,25.63,1.45,3.86,2.39,0,92.29,0,13412.0,94.0,2.4240548764763528,345.8662128010728
53205,9119,28.9,33.59,52.83,13.58,41.81,58.19,3.42,80.75,0.48,9.24,0,1.23,4.87,15532.0,20597.0,46.09,24.4,64.72,14.53,12.08,0,3.38,2.38,2.9,3304.0,2.7,16.5,83.5,3914.0,84.41,15.59,27.06,72.94,80300.0,11.56,88.44,24.99,33.42,31.46,7.26,2.86,10.53,0,58.33,17.71,5.31,18.65,0,2489.0,24.0,2.6318675293343565,272.9465950213839
54103,483,59.6,13.87,46.58,39.54,52.38,47.62,92.75,0,1.24,0.41,0,0,5.59,24211.0,43125.0,6.19,30.54,70.39,7.82,0,0,10.06,0,11.73,191.0,2.21,59.3,40.7,514.0,37.16,62.84,91.62,8.38,107600.0,7.95,92.05,10.47,35.91,39.4,10.97,3.24,1.24,66.67,33.33,0,0,0,0,92.0,2.0,4.140786749482402,190.47619047619045
54104,1094,59.5,11.15,50.91,37.93,51.46,48.54,95.06,0,1.28,0,0,3.47,0.18,28267.0,50469.0,14.99,36.26,82.19,6.85,0.55,0,4.93,0,5.48,554.0,1.95,55.33,44.67,2394.0,23.14,76.86,86.64,13.36,124200.0,7.1,92.9,11.25,48.83,28.87,8.6,2.44,0.46,100.0,0,0,0,0,0,194.0,2.0,1.8281535648994516,177.3308957952468
54106,5566,37.3,25.3,59.52,15.18,52.64,47.36,92.2,0,0.14,0.11,0,5.96,1.55,30432.0,73781.0,6.0,28.3,82.84,8.71,0,0,2.05,0.04,5.62,2159.0,2.58,63.94,36.06,2204.0,97.96,2.04,83.79,16.21,183800.0,6.98,93.02,6.45,41.23,37.18,12.16,2.99,1.44,20.0,0,0,0,80.0,0,1268.0,7.0,1.2576356449874238,227.81171397772187
54107,3600,45.5,22.03,57.44,20.53,50.19,49.81,96.94,0.06,1.31,0.22,0,0.92,0.56,32688.0,62974.0,6.39,22.19,76.85,7.52,0.48,1.02,4.4,0.91,8.81,1477.0,2.44,60.59,39.41,1608.0,91.85,8.15,79.89,20.11,169100.0,8.28,91.72,8.57,45.81,28.08,12.44,5.09,0.86,19.35,25.81,0,0,54.84,0,928.0,6.0,1.6666666666666667,257.77777777777777
54110,5308,38.6,24.42,62.06,13.53,48.29,51.71,95.35,0,0.79,0.64,0.02,0.6,2.6,31207.0,73250.0,7.3,23.49,81.56,5.04,0.17,0,3.2,1.63,8.41,2020.0,2.62,61.53,38.47,2094.0,96.47,3.53,81.63,18.37,159600.0,7.22,92.78,7.03,39.16,30.25,20.55,3.02,1.41,2.67,45.33,0,0,52.0,0,1449.0,21.0,3.9562923888470234,272.9841748304446
54111,2243,49.3,20.33,57.74,21.93,49.22,50.78,93.27,0,0.36,0,0,2.63,3.74,31950.0,61471.0,7.14,30.95,84.45,7.28,0,0,0.2,1.48,6.59,1014.0,2.21,58.76,41.24,1226.0,82.71,17.29,84.02,15.98,159600.0,7.97,92.03,5.62,43.89,32.15,12.1,6.23,2.63,71.19,0,0,0,28.81,0,497.0,8.0,3.5666518056174765,221.57824342398575
54112,2450,41.5,23.76,56.12,20.12,48.08,51.92,91.02,0,0.41,0.04,0,4.37,4.16,27606.0,59929.0,7.07,26.59,84.74,8.77,0,0.17,2.53,0.51,3.29,1072.0,2.29,55.58,44.42,1266.0,84.68,15.32,72.85,27.15,136400.0,8.89,91.11,10.31,41.76,28.94,13.84,5.15,1.39,8.82,2.94,0,0,88.24,0,659.0,6.0,2.4489795918367347,268.9795918367347
54113,3588,37.9,26.14,56.74,17.11,44.9,55.1,96.82,0.03,0,0,0,0,3.15,41265.0,72102.0,7.03,17.78,90.54,2.64,0,0,2.53,0,4.29,1427.0,2.51,60.72,39.28,1441.0,99.03,0.97,87.39,12.61,189300.0,1.38,98.62,6.21,35.85,26.13,20.56,11.25,1.87,0,0,0,0,100.0,0,1032.0,6.0,1.6722408026755853,287.6254180602006
54114,5302,52.9,18.03,52.17,29.8,48.49,51.51,97.59,0,0.57,0.08,0,0.66,1.11,27145.0,50529.0,10.84,27.68,79.91,6.95,0,0.14,3.0,0.62,9.38,2492.0,2.09,57.18,42.82,6365.0,39.15,60.85,80.46,19.54,139900.0,9.26,90.74,10.01,41.59,33.05,11.46,3.89,0.85,82.22,0,0,0,17.78,0,1481.0,17.0,3.206337231233497,279.3285552621652
54115,46443,36.0,23.06,63.09,13.85,49.48,50.52,88.29,0.85,3.09,3.57,0,2.37,1.83,39168.0,82179.0,5.75,17.73,84.34,5.8,0.29,0.02,2.6,0.23,6.71,18116.0,2.45,55.06,44.94,18719.0,96.78,3.22,65.64,34.36,225000.0,14.58,85.42,3.39,23.67,33.37,27.92,11.65,3.62,14.62,69.28,0.53,3.51,9.8,2.26,14978.0,62.0,1.3349697478629716,322.50285295954177
54119,751,44.1,14.91,67.64,17.44,55.13,44.87,92.54,1.46,0,3.33,0,1.2,1.46,23525.0,50625.0,5.86,33.96,66.96,6.49,3.24,0,11.21,0,12.09,253.0,2.41,56.43,43.57,858.0,29.49,70.51,77.87,22.13,110100.0,26.5,73.5,4.12,43.42,31.48,14.4,6.58,3.86,6.9,86.21,6.9,0,0,0,106.0,1.0,1.3315579227696406,141.1451398135819
54120,229,56.1,10.48,60.7,28.82,51.53,48.47,100.0,0,0,0,0,0,0,26373.0,42000.0,7.49,32.18,86.96,3.26,0,0,4.35,0,5.43,110.0,2.08,65.44,34.56,614.0,17.92,82.08,83.64,16.36,125000.0,11.79,88.21,9.04,53.19,29.79,4.79,3.19,2.62,100.0,0,0,0,0,0,44.0,2.0,8.73362445414847,192.13973799126637
54121,3097,54.8,16.63,58.02,25.35,51.44,48.56,97.16,0.9,0.23,0,0,1.1,0.61,33463.0,51864.0,10.82,21.9,82.93,6.41,0.46,0,1.47,0,8.73,1460.0,2.09,60.7,39.3,3305.0,44.18,55.82,87.74,12.26,136000.0,9.32,90.68,6.4,35.63,34.94,16.63,6.4,0.03,0,0,0,0,0,100.0,726.0,10.0,3.2289312237649335,234.42040684533418
54123,256,31.8,23.05,69.92,7.03,62.11,37.89,89.06,4.3,4.3,0,0,0,2.34,35407.0,69028.0,5.08,25.06,89.66,7.47,0,0,0,0,2.87,121.0,2.12,56.59,43.41,121.0,100.0,0,80.99,19.01,150000.0,9.38,90.62,3.26,26.09,51.63,19.02,0,6.64,0,0,64.71,0,35.29,0,77.0,1.0,3.90625,300.78125
54124,3570,43.1,22.69,60.14,17.17,52.27,47.73,86.53,0.17,7.87,0.22,0,2.13,3.08,26808.0,49470.0,11.27,26.88,78.13,6.09,0.39,0,1.69,4.51,9.19,1543.0,2.29,54.52,45.48,1969.0,78.36,21.64,81.46,18.54,109700.0,7.65,92.35,8.72,46.53,32.43,9.01,3.31,1.99,35.21,11.27,0,0,53.52,0,1040.0,18.0,5.04201680672269,291.3165266106443
54125,550,54.2,18.91,51.09,30.0,44.18,55.82,93.09,0,1.82,2.55,0,2.55,0,28086.0,42500.0,10.66,29.14,78.79,8.59,0,0,0,3.54,9.09,276.0,1.99,56.62,43.38,555.0,49.73,50.27,78.99,21.01,75600.0,14.79,85.21,11.06,53.72,28.89,5.87,0.45,4.0,36.36,63.64,0,0,0,0,99.0,2.0,3.6363636363636362,180.0
54126,3475,40.8,23.57,63.97,12.46,51.77,48.23,87.88,0.98,0.12,0.12,0,1.18,9.15,35590.0,81786.0,4.6,27.54,84.89,9.08,0.2,0,1.22,0.58,3.4,1314.0,2.64,61.67,38.33,1358.0,96.76,3.24,87.14,12.86,197600.0,4.45,95.55,6.85,41.26,32.0,13.95,5.94,4.23,2.04,2.72,0,0,90.48,4.76,1169.0,6.0,1.7266187050359714,336.40287769784175
54128,2080,46.0,24.28,56.68,19.04,48.56,51.44,72.55,0.19,15.48,0.53,0,9.09,2.16,25133.0,57292.0,13.12,25.6,86.34,6.48,0,0,1.97,0.23,4.98,773.0,2.69,61.44,38.56,1051.0,73.55,26.45,79.04,20.96,122600.0,11.34,88.66,5.43,40.79,27.53,19.76,6.5,0.82,23.53,64.71,0,11.76,0,0,493.0,4.0,1.9230769230769231,237.01923076923077
54129,3233,47.0,23.35,58.34,18.31,50.7,49.3,89.92,0.09,1.08,0.34,0,3.9,4.67,34514.0,73971.0,4.65,25.32,85.55,5.24,0,0.12,1.69,0.48,6.92,1314.0,2.46,69.29,30.71,1436.0,91.5,8.5,86.07,13.93,173200.0,7.61,92.39,5.89,39.62,37.82,13.11,3.57,2.91,8.51,4.26,0,0,87.23,0,900.0,10.0,3.093102381688834,278.379214351995
54130,27076,40.5,23.05,63.6,13.34,51.01,48.99,95.99,0.01,0.08,0.09,0,1.41,2.15,35948.0,72237.0,6.06,19.99,87.66,4.21,0.6,0.08,2.24,0.27,4.66,10719.0,2.52,59.07,40.93,11077.0,96.77,3.23,73.61,26.39,170800.0,7.84,92.16,4.97,35.91,33.14,19.35,6.63,0.55,53.02,8.72,0,0,28.86,9.4,7712.0,74.0,2.733047717535825,284.8278918599498
54135,3396,31.2,33.1,53.65,13.25,48.26,51.74,11.25,0.03,74.65,0,0,4.77,9.22,22223.0,46473.0,26.15,20.6,82.04,4.03,1.73,0,2.98,0.09,9.22,1038.0,3.25,35.63,64.37,1915.0,54.2,45.8,67.92,32.08,113400.0,8.24,91.76,8.1,45.45,26.49,10.6,9.35,0.06,0,0,0,0,100.0,0,1111.0,7.0,2.061248527679623,327.1495877502945
54136,6517,41.2,24.01,59.61,16.37,50.84,49.16,88.63,0.09,0,3.31,0,4.53,3.44,29071.0,60341.0,5.98,19.21,86.67,6.26,0.37,0.44,1.01,0.34,4.91,2762.0,2.35,59.87,40.13,2927.0,94.36,5.64,68.18,31.82,149000.0,10.23,89.77,5.7,35.31,33.73,20.06,5.2,3.21,0,62.68,0,0,37.32,0,1933.0,27.0,4.143010587693724,296.6088691115544
54137,1083,43.4,21.98,59.56,18.47,52.45,47.55,98.52,0,0.46,0.55,0,0.46,0,37102.0,68523.0,4.34,29.15,92.68,1.91,0.32,0,0,0,5.1,465.0,2.33,63.71,36.29,484.0,96.07,3.93,94.84,5.16,177100.0,6.09,93.91,4.94,43.21,40.25,9.51,2.1,0.55,0,100.0,0,0,0,0,331.0,5.0,4.616805170821792,305.6325023084026
54138,933,60.4,10.83,51.88,37.3,50.38,49.62,97.32,0,0.64,0,0,0,2.04,28979.0,43393.0,14.79,22.5,72.57,5.21,0,0,0,0,22.22,461.0,2.02,53.86,46.14,1502.0,30.69,69.31,85.25,14.75,158700.0,13.56,86.44,9.36,42.23,30.97,13.53,3.92,0.75,100.0,0,0,0,0,0,216.0,8.0,8.57449088960343,231.5112540192926
54139,3220,43.9,23.6,60.12,16.27,54.32,45.68,97.14,0.19,0.28,0,0,0.99,1.4,31864.0,71875.0,6.0,25.31,74.34,8.03,0.12,0,6.1,0.66,10.75,1269.0,2.54,61.38,38.62,1411.0,89.94,10.06,85.19,14.81,153500.0,4.85,95.15,7.57,47.88,30.13,10.75,3.67,0.34,36.36,0,0,0,45.45,18.18,818.0,6.0,1.8633540372670807,254.03726708074538
54140,8890,33.9,22.43,64.25,13.32,48.27,51.73,87.47,1.35,1.48,1.08,0,1.91,6.7,29310.0,61352.0,5.67,18.45,84.97,4.79,0.22,0.99,2.79,1.07,5.16,3822.0,2.31,51.39,48.61,3974.0,96.18,3.82,63.53,36.47,155800.0,17.72,82.28,7.11,36.55,35.29,16.06,4.99,3.32,5.08,25.76,0,0,65.42,3.73,2521.0,7.0,0.7874015748031495,283.5770528683915
54141,2125,48.5,17.46,67.11,15.44,55.86,44.14,90.4,2.26,1.65,0,0,1.6,4.09,37800.0,78333.0,5.03,29.84,77.92,9.44,0,0,0,1.56,11.08,896.0,2.37,66.47,33.53,1090.0,82.2,17.8,94.42,5.58,205100.0,9.36,90.64,13.01,34.75,33.03,16.76,2.46,1.6,0,0,0,0,100.0,0,818.0,5.0,2.352941176470588,384.94117647058823
54143,14811,46.0,18.99,59.09,21.92,51.44,48.56,95.25,1.27,0.43,0.29,0,0.65,2.11,31564.0,52657.0,11.57,13.15,87.26,5.4,0.17,0.37,3.31,0.92,2.56,7109.0,2.04,53.88,46.12,7864.0,90.4,9.6,71.64,28.36,114800.0,10.95,89.05,9.27,37.0,34.14,12.87,6.72,1.39,25.24,26.7,0,0,48.06,0,4504.0,32.0,2.160556343258389,304.09830531361825
54149,1211,58.9,15.69,47.73,36.58,53.1,46.9,98.84,0,0,0,0,0.58,0.58,30151.0,51607.0,9.88,31.43,72.64,5.98,0,0,3.91,0,17.47,575.0,2.11,62.41,37.59,2002.0,28.72,71.28,94.96,5.04,155600.0,4.81,95.19,10.35,44.57,25.92,13.83,5.33,0.33,50.0,0,0,0,50.0,0,239.0,5.0,4.1288191577208915,197.35755573905863
54150,1072,32.1,33.12,53.45,13.43,53.45,46.55,2.61,0.75,92.07,0.75,0,1.87,1.96,13806.0,50208.0,39.46,29.4,58.39,21.68,6.64,0,3.15,5.59,4.55,318.0,3.3,40.46,59.54,345.0,92.17,7.83,53.46,46.54,51400.0,13.06,86.94,5.32,50.65,38.23,5.81,0,0.75,0,100.0,0,0,0,0,223.0,0.0,0.0,208.02238805970148
54151,3198,48.1,20.36,58.16,21.48,48.47,51.53,96.37,0.88,0,0,0,2.06,0.69,28855.0,53567.0,8.52,18.82,82.42,7.69,0.47,0,0.27,0.6,8.56,1445.0,2.21,60.71,39.29,1898.0,76.13,23.87,84.91,15.09,104400.0,7.12,92.88,6.96,39.56,37.76,11.53,4.19,0.38,75.0,0,0,0,0,25.0,941.0,10.0,3.1269543464665417,294.24640400250155
54153,7069,49.0,19.38,57.31,23.31,50.46,49.54,91.46,0.38,1.5,0.95,0,2.24,3.48,28857.0,57353.0,10.66,24.05,82.79,11.12,0,0,1.78,0.47,3.83,3166.0,2.19,53.17,46.83,3619.0,87.48,12.52,73.34,26.66,117700.0,14.28,85.72,12.6,42.35,32.86,8.73,3.45,0.88,72.58,17.74,0,0,9.68,0,2094.0,28.0,3.9609562880181075,296.2229452539256
54934,322,29.4,31.06,60.25,8.7,50.62,49.38,75.16,9.01,0,0,0,10.56,5.28,19375.0,65729.0,4.04,29.34,93.06,4.86,0,0,2.08,0,0,95.0,3.39,59.46,40.54,100.0,95.0,5.0,76.84,23.16,118500.0,9.09,90.91,18.18,44.39,22.46,12.83,2.14,11.18,0,0,80.56,0,19.44,0,28.0,1.0,3.105590062111801,86.95652173913044
54935,41636,37.7,22.79,61.1,16.12,48.75,51.25,83.97,2.59,0.61,1.62,0.08,3.06,7.63,29097.0,55704.0,11.25,17.27,82.45,9.32,0.25,0.66,2.82,0.44,3.67,17196.0,2.33,51.57,48.43,18650.0,92.2,7.8,58.99,41.01,133000.0,16.74,83.26,8.94,33.62,33.57,16.56,7.31,5.18,8.58,31.71,4.68,0,53.78,1.25,12973.0,110.0,2.6419444711307523,311.5813238543568
54937,20596,44.3,18.39,62.42,19.19,50.79,49.21,89.86,0.95,0.67,1.37,0,1.14,6.01,37519.0,70372.0,7.59,20.61,87.65,5.4,0.2,0.2,0.81,1.5,4.24,8086.0,2.43,59.9,40.1,8735.0,92.57,7.43,75.48,24.52,185000.0,14.09,85.91,6.76,34.16,34.22,14.9,9.95,2.14,11.34,18.37,0,0,58.5,11.79,6734.0,63.0,3.0588463779374635,326.95669061953777
54940,4385,46.9,24.08,59.86,16.05,49.53,50.47,92.04,0,0.11,4.24,0.09,1.89,1.62,35358.0,80777.0,3.86,27.82,83.13,6.5,0,0,1.84,2.12,6.41,1753.0,2.5,70.22,29.78,2136.0,82.07,17.93,88.82,11.18,228000.0,8.32,91.68,5.34,36.47,35.21,19.34,3.63,1.32,15.52,18.97,0,0,48.28,17.24,955.0,5.0,1.1402508551881414,217.787913340935
54941,2409,54.2,16.23,56.79,26.98,52.97,47.03,97.14,0.79,0.17,0,0,0.66,1.25,38767.0,59667.0,7.32,24.19,76.71,10.95,0.44,0,2.63,0.18,9.11,1130.0,2.05,57.09,42.91,1834.0,61.61,38.39,77.61,22.39,225400.0,13.52,86.48,4.95,28.34,31.38,25.25,10.07,1.78,55.81,0,0,0,44.19,0,638.0,6.0,2.4906600249066004,264.8401826484018
